term_lower	term	confidence	domains	defined_in
0.9952	0.9952	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9965	0.9965	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9968	0.9968	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9971	0.9971	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9974	0.9974	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9977	0.9977	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9979	0.9979	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9981	0.9981	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9987	0.9987	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9988	0.9988	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9989	0.9989	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9990	0.9990	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9991	0.9991	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9992	0.9992	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9993	0.9993	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9995	0.9995	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9996	0.9996	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9997	0.9997	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9998	0.9998	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9999	0.9999	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0/0 is possible and has an answer	0/0 is possible and has an answer	high	26_Real_functions	00IsPossibleAndHasAnAnswer
0cdota0	0cdotA0	medium	54_General_topology	AxiomaticDefinitionOfTheRealNumbers
1 to 1 correspondence	1 to 1 correspondence	high	03_Mathematical_logic_and_foundations	Bijection
1-1 correspondence	1-1 correspondence	high	03_Mathematical_logic_and_foundations	Bijection
1-4-2 problem	1-4-2 Problem	high	11_Number_theory	CollatzProblem
1-coboundary	1-coboundary	medium	20_Group_theory_and_generalizations	GroupCohomology
1-cocycle	1-cocycle	medium	20_Group_theory_and_generalizations	GroupCohomology
1-form	1-form	high	58_Global_analysis_analysis_on_manifolds	DifferentialForm
1-parameter subgroup	1-parameter subgroup	high	22_Topological_groups_Lie_groups	OneparameterSubgroup
1. induction basis	1. Induction Basis	medium	03_Mathematical_logic_and_foundations	IntuitionisticLogic;TheInclusionOfClassicalIntoIntuitionisticLogic
1. introduction	1. Introduction	high	94_Information_and_communication_circuits	1Introduction
1. the principle of optimal design	1. The Principle of Optimal Design	medium	18_Category_theory_homological_algebra;40_Sequences_series_summability	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS;SupercategoricalApproachToComplexSystemsMetasystemsAndOntologyMultiLevels
1.0000	1.0000	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
1.1 type theory versus set theory	1.1 Type theory versus set theory	high	03_Mathematical_logic_and_foundations	11TypeTheoryVersusSetTheory
1.10 pattern matching and recursion	1.10 Pattern matching and recursion	high	03_Mathematical_logic_and_foundations	110PatternMatchingAndRecursion
1.11 propositions as types	1.11 Propositions as types	high	03_Mathematical_logic_and_foundations	111PropositionsAsTypes
1.12 identity types	1.12 Identity types	high	03_Mathematical_logic_and_foundations	112IdentityTypes
1.12.1 path induction	1.12.1 Path Induction	high	03_Mathematical_logic_and_foundations	1121PathInduction
1.12.2 equivalence of path induction and based path induction	1.12.2 Equivalence of path induction and based path induction	high	03_Mathematical_logic_and_foundations	1122EquivalenceOfPathInductionAndBasedPathInduction
1.12.3 disequality	1.12.3 Disequality	high	03_Mathematical_logic_and_foundations	1123Disequality
1.145	1.145	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
1.2 function types	1.2 Function types	high	03_Mathematical_logic_and_foundations	12FunctionTypes
1.290	1.290	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.292	1.292	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.294	1.294	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.299	1.299	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.3 universes and families	1.3 Universes and Families	high	03_Mathematical_logic_and_foundations	13UniversesAndFamilies
1.303	1.303	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.311	1.311	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.313	1.313	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.315	1.315	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.316	1.316	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.319	1.319	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.321	1.321	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.325	1.325	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.328	1.328	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.333	1.333	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.337	1.337	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.344	1.344	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
1.345	1.345	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.350	1.350	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.363	1.363	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.372	1.372	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.397	1.397	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.4 dependent function types	1.4 Dependent function types	high	03_Mathematical_logic_and_foundations	14DependentFunctionTypes
1.415	1.415	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.476	1.476	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.5 product types	1.5 Product types	high	03_Mathematical_logic_and_foundations	15ProductTypes
1.533	1.533	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.6 dependent pair types	1.6 Dependent pair types	high	03_Mathematical_logic_and_foundations	16DependentPairTypes
1.7 coproduct types	1.7 Coproduct types	high	03_Mathematical_logic_and_foundations	17CoproductTypes
1.8 the type of booleans	1.8 The type of booleans	high	03_Mathematical_logic_and_foundations	18TheTypeOfBooleans
1.886	1.886	medium	62_Statistics	TableOfCriticalValuesOfTDistributions
1.9 the natural numbers	1.9 The natural numbers	high	03_Mathematical_logic_and_foundations	19TheNaturalNumbers
10.	10.	medium	40_Sequences_series_summability	ListOfImproperIntegrals
10. set theory	10. Set theory	high	03_Mathematical_logic_and_foundations	10SetTheory
10.1 the category of sets	10.1 The category of sets	high	03_Mathematical_logic_and_foundations	101TheCategoryOfSets
10.1.1 limits and colimits	10.1.1 Limits and colimits	high	03_Mathematical_logic_and_foundations	1011LimitsAndColimits
10.1.2 images	10.1.2 Images	high	03_Mathematical_logic_and_foundations	1012Images
10.1.3 quotients	10.1.3 Quotients	high	03_Mathematical_logic_and_foundations	1013Quotients
10.1.4 set is a $\pi\mathsf{w	10.1.4 Set is a $\Pi\mathsf{W	high	03_Mathematical_logic_and_foundations	1014SetIsAPimathsfWpretopos
10.1.5 the axiom of choice implies excluded middle	10.1.5 The axiom of choice implies excluded middle	high	03_Mathematical_logic_and_foundations	1015TheAxiomOfChoiceImpliesExcludedMiddle
10.117	10.117	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
10.2 cardinal numbers	10.2 Cardinal numbers	high	03_Mathematical_logic_and_foundations	102CardinalNumbers
10.3 ordinal numbers	10.3 Ordinal numbers	high	03_Mathematical_logic_and_foundations	103OrdinalNumbers
10.4 classical well-orderings	10.4 Classical well-orderings	high	03_Mathematical_logic_and_foundations	104ClassicalWellorderings
10.5 the cumulative hierarchy	10.5 The cumulative hierarchy	high	03_Mathematical_logic_and_foundations	105TheCumulativeHierarchy
10.520	10.520	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
10.851	10.851	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
101.879	101.879	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
1013quotients	1013quotients	medium	03_Mathematical_logic_and_foundations	610Quotients
1014setisapimathsfwpretopos	1014setisapimathsfwpretopos	medium	03_Mathematical_logic_and_foundations	35SubsetsAndPropositionalResizing
101thecategoryofsets	101thecategoryofsets	medium	03_Mathematical_logic_and_foundations	610Quotients;HowToReadThisBook
103ordinalnumbers	103ordinalnumbers	medium	03_Mathematical_logic_and_foundations	34ClassicalVsIntuitionisticLogic;57GeneralizationsOfInductiveTypes;611Algebra
104.215	104.215	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
104classicalwellorderings	104classicalwellorderings	medium	03_Mathematical_logic_and_foundations	34ClassicalVsIntuitionisticLogic
11.	11.	medium	40_Sequences_series_summability	ListOfImproperIntegrals
11. real numbers	11. Real numbers	high	03_Mathematical_logic_and_foundations	11RealNumbers
11.070	11.070	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
11.1 the field of rational numbers	11.1 The field of rational numbers	high	03_Mathematical_logic_and_foundations	111TheFieldOfRationalNumbers
11.160	11.160	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
11.2 dedekind reals	11.2 Dedekind reals	high	03_Mathematical_logic_and_foundations	112DedekindReals
11.2.1 the algebraic structure of dedekind reals	11.2.1 The algebraic structure of Dedekind reals	high	03_Mathematical_logic_and_foundations	1121TheAlgebraicStructureOfDedekindReals
11.2.2 dedekind reals are cauchy complete	11.2.2 Dedekind reals are Cauchy complete	high	03_Mathematical_logic_and_foundations	1122DedekindRealsAreCauchyComplete
11.2.3 dedekind reals are dedekind complete	11.2.3 Dedekind reals are Dedekind complete	high	03_Mathematical_logic_and_foundations	1123DedekindRealsAreDedekindComplete
11.3 cauchy reals	11.3 Cauchy reals	high	03_Mathematical_logic_and_foundations	113CauchyReals
11.3.1 construction of cauchy reals	11.3.1 Construction of Cauchy reals	high	03_Mathematical_logic_and_foundations	1131ConstructionOfCauchyReals
11.3.2 induction and recursion on cauchy reals	11.3.2 Induction and recursion on Cauchy reals	high	03_Mathematical_logic_and_foundations	1132InductionAndRecursionOnCauchyReals
11.3.3 the algebraic structure of cauchy reals	11.3.3 The algebraic structure of Cauchy reals	high	03_Mathematical_logic_and_foundations	1133TheAlgebraicStructureOfCauchyReals
11.3.4 cauchy reals are cauchy complete	11.3.4 Cauchy reals are Cauchy complete	high	03_Mathematical_logic_and_foundations	1134CauchyRealsAreCauchyComplete
11.4 comparison of cauchy and dedekind reals	11.4 Comparison of Cauchy and Dedekind reals	high	03_Mathematical_logic_and_foundations	114ComparisonOfCauchyAndDedekindReals
11.5 compactness of the interval	11.5 Compactness of the interval	high	03_Mathematical_logic_and_foundations	115CompactnessOfTheInterval
11.6 the surreal numbers	11.6 The surreal numbers	high	03_Mathematical_logic_and_foundations	116TheSurrealNumbers
110patternmatchingandrecursion	110patternmatchingandrecursion	medium	03_Mathematical_logic_and_foundations	56TheGeneralSyntaxOfInductiveDefinitions;AppendixANotes
111propositionsastypes	111propositionsastypes	medium	03_Mathematical_logic_and_foundations	112IdentityTypes;18TheTypeOfBooleans;214ExampleEqualityOfStructures
111thefieldofrationalnumbers	111thefieldofrationalnumbers	medium	03_Mathematical_logic_and_foundations	610Quotients
1122dedekindrealsarecauchycomplete#thmprethm1	1122dedekindrealsarecauchycomplete#Thmprethm1	medium	03_Mathematical_logic_and_foundations	1123Disequality;611Algebra
112identitytypes	112identitytypes	medium	03_Mathematical_logic_and_foundations	11TypeTheoryVersusSetTheory;15ProductTypes;2HomotopyTypeTheory
115compactnessoftheinterval	115compactnessoftheinterval	medium	03_Mathematical_logic_and_foundations	57GeneralizationsOfInductiveTypes
116.321	116.321	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
11typetheoryversussettheory	11typetheoryversussettheory	medium	03_Mathematical_logic_and_foundations	112IdentityTypes;21TypesAreHigherGroupoids;25TheHigherGroupoidStructureOfTypeFormers
12(1)	12(1)	medium	68_Computer_science	GardenofEdenTheorem
12.	12.	medium	40_Sequences_series_summability	ListOfImproperIntegrals
12.338	12.338	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
12.461	12.461	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
124.342	124.342	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
12functiontypes	12functiontypes	medium	03_Mathematical_logic_and_foundations	16DependentPairTypes;A0Preliminaries;A24DependentFunctionTypesPitypes
13.091	13.091	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
13.121	13.121	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
13universesandfamilies	13universesandfamilies	medium	03_Mathematical_logic_and_foundations	14DependentFunctionTypes;A211Definitions;Chapter1Notes
14.	14.	medium	40_Sequences_series_summability	ListOfImproperIntegrals
14.067	14.067	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
14.611	14.611	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
14.860	14.860	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
140.169	140.169	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
14dependentfunctiontypes	14dependentfunctiontypes	medium	03_Mathematical_logic_and_foundations	11TypeTheoryVersusSetTheory;16DependentPairTypes;23TypeFamiliesAreFibrations
15 puzzle	15 Puzzle	high	91_Game_theory_economics_social_and_behavioral_sciences	15Puzzle
15.379	15.379	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
15.507	15.507	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
15producttypes	15producttypes	medium	03_Mathematical_logic_and_foundations	11TypeTheoryVersusSetTheory;16DependentPairTypes;A28TheUnitType1
16.	16.	medium	40_Sequences_series_summability	ListOfImproperIntegrals
16.750	16.750	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
16.928	16.928	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
16dependentpairtypes	16dependentpairtypes	medium	03_Mathematical_logic_and_foundations	111PropositionsAsTypes;214ExampleEqualityOfStructures;A25DependentPairTypesSigmatypes
17 lectures on fermat numbers.	17 Lectures on Fermat Numbers.	medium	81_Quantum_theory	FermatNumbers
17.	17.	medium	40_Sequences_series_summability	ListOfImproperIntegrals
17.708	17.708	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
17coproducttypes	17coproducttypes	medium	03_Mathematical_logic_and_foundations	13UniversesAndFamilies;15ProductTypes
18.	18.	medium	40_Sequences_series_summability	ListOfImproperIntegrals
18.307	18.307	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
18thetypeofbooleans	18thetypeofbooleans	medium	03_Mathematical_logic_and_foundations	51IntroductionToInductiveTypes
18thetypeofbooleans#1	18thetypeofbooleans#1	medium	03_Mathematical_logic_and_foundations	58IdentityTypesAndIdentitySystems
19.	19.	medium	40_Sequences_series_summability	ListOfImproperIntegrals
19.675	19.675	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
1951*	1951*	medium	03_Mathematical_logic_and_foundations	FromHilbertsTenthProblemToGodelsTrichotomy
196's reverse and add sequence to 1000 terms	196's reverse and add sequence to 1000 terms	high	11_Number_theory	196sReverseAndAddSequenceTo1000Terms
197/198	197/198	medium	05_Combinatorics	AlgebraicConnectivityOfAGraph
19thenaturalnumbers	19thenaturalnumbers	medium	03_Mathematical_logic_and_foundations	12FunctionTypes;13UniversesAndFamilies;52UniquenessOfInductiveTypes
1\rbrace$-lattice homomorphism	1\rbrace$-lattice homomorphism	high	06_Order_lattices_ordered_algebraic_structures	LatticeHomomorphism
1cdotaa	1cdotAA	medium	54_General_topology	AxiomaticDefinitionOfTheRealNumbers
1introduction#thmdefn1	1introduction#Thmdefn1	medium	60_Probability_theory_and_stochastic_processes	4Measurement
